operator,vehicle_id,Earliest,Latest,days
Bird,032274b1-7acf-4e1b-b680-007abd4a6a0c,2018-05-13T17:01:00Z,2018-05-13T23:43:00Z,0.279166666666667
Bird,0709780e-b893-4d34-b8f3-c16e4fa4234f,2018-03-29T15:04:00Z,2018-03-29T18:17:00Z,0.134027777777778
Bird,08806fc3-fc59-432b-962c-977c51470632,2018-05-29T15:43:00Z,2018-05-29T17:19:00Z,0.0666666666666667
Bird,133809e5-619c-460c-bb52-0cbd26483632,2018-04-14T13:27:00Z,2018-04-14T16:27:00Z,0.125
Bird,16d8f8b1-527a-41cc-aa19-a240ab71649b,2018-05-28T20:25:00Z,2018-05-29T00:21:00Z,0.163888888888889
Bird,16f3a08d-0de8-4269-bb3a-665e57156432,2018-04-05T15:41:00Z,2018-04-05T22:41:00Z,0.291666666666667
Bird,16f888f5-cd3d-448b-9179-021177f90f03,2018-04-05T23:43:00Z,2018-04-06T01:25:00Z,0.0708333333333333
Bird,200b850d-fde4-4017-a8f0-9f3ca6937dc8,2018-03-29T21:04:00Z,2018-03-29T21:45:00Z,0.0284722222222222
Bird,207e5801-3dc5-4824-b176-29d4ff450614,2018-03-29T16:31:00Z,2018-03-29T21:30:00Z,0.207638888888889
Bird,20ef20dd-699f-49dd-8861-e4697c040690,2018-04-28T14:04:00Z,2018-04-28T19:37:00Z,0.23125
Bird,2441a78e-0e7f-45f5-b2fd-06cc1fb938f4,2018-04-05T15:41:00Z,2018-04-05T16:07:00Z,0.0180555555555556
Bird,26042411-11a1-4f4b-a341-ee8d421cc5e7,2018-03-29T19:43:00Z,2018-03-29T21:16:00Z,0.0645833333333333
Bird,26c8f4a8-4b98-40de-84d8-b6eda64f692f,2018-03-29T21:21:00Z,2018-03-30T19:19:00Z,0.915277777777778
Bird,270036bc-6799-407e-a2dc-e7753df55f05,2018-05-12T21:16:00Z,2018-05-12T22:07:00Z,0.0354166666666667
Bird,2cf249f1-4bce-4341-9100-87b860480e59,2018-04-05T20:00:00Z,2018-04-06T19:34:00Z,0.981944444444444
Bird,3485de0d-0514-492a-a6b4-c993da947572,2018-04-18T18:38:00Z,2018-04-19T13:18:00Z,0.777777777777778
Bird,3496463f-cec2-4635-8a05-7f52ca691912,2018-05-28T20:46:00Z,2018-05-29T00:25:00Z,0.152083333333333
Bird,3c3b5107-c928-448a-aa8e-89bf70f19cb1,2018-04-20T18:46:00Z,2018-04-21T18:07:00Z,0.972916666666667
Bird,3e065421-1850-436d-af5e-0f576b126bd7,2018-04-05T21:01:00Z,2018-04-05T21:40:00Z,0.0270833333333333
Bird,3f1f57b4-e552-44cd-9b02-149faa807725,2018-04-18T17:06:00Z,2018-04-18T23:46:00Z,0.277777777777778
Bird,440bd52c-317f-400b-b30e-f218ebd2f065,2018-05-12T20:40:00Z,2018-05-13T20:18:00Z,0.984722222222222
Bird,48c5b8a9-2ca7-42dd-bcf8-35cc252673c4,2018-05-28T20:08:00Z,2018-05-28T21:51:00Z,0.0715277777777778
Bird,4adf00ac-7190-4639-a7e2-1fd61e8218e2,2018-04-05T16:12:00Z,2018-04-05T20:56:00Z,0.197222222222222
Bird,4b2eb799-5322-4d5b-a07d-dc88eed26df0,2018-05-13T17:08:00Z,2018-05-13T21:53:00Z,0.197916666666667
Bird,4b85ca75-bef5-4e8b-a95b-409c47994119,2018-05-14T11:07:00Z,2018-05-14T20:07:00Z,0.375
Bird,4bdc13b3-b66a-4964-baf0-8616c96f5fae,2018-05-29T15:29:00Z,2018-05-29T17:22:00Z,0.0784722222222222
Bird,4dece9fd-e5af-4f7c-8389-84c0d05da922,2018-03-29T22:05:00Z,2018-03-29T23:43:00Z,0.0680555555555555
